name;cpu_weight;net_weight
qwertyqwerty;10000;10000
ravajavajive;10000;10000
redmondjacks;10000;10000
reggaemuffin;10000;10000
remyhauxley1;760000;760000
replicapedro;10000;10000
ricecrypto13;10000;10000
richdadphat1;10000;10000
richhomeless;10000;10000
ricksanchezs;10000;10000
ricocotam123;10000;10000
rollingamess;10000;10000
romaneonkoyt;10000;10000
romitradical;10000;10000
ryanharrison;10000;10000
samajernigan;10000;10000
samstickkzjo;10000;10000
sanfrancisco;10000;10000
saunteroneos;10000;10000
scienceviena;10000;10000
seetaramnt12;10000;10000
sentimentald;10000;10000
serapnation1;10000;10000
seungjohnoh1;10000;10000
sexpresident;440000;350000
shamitanuri1;1370000;310000
sharanyashak;10000;10000
sigurdsonwam;10000;10000
silviaxxxxxx;10000;10000
singularity5;25010000;25010000
snorresnorre;10000;10000
socialledger;98410000;167070000
sojasubhagar;10000;10000
sophiatopaz1;10000;10000
soroushchain;10000;10000
spirinspirin;2510000000;1540000
ssssssssssss;10000;10000
stelinawolfn;10000;10000
stonededitor;10000;10000
stuardodevel;10000;10000
sudokeyroot1;10000;10000
summerknight;270000;190000
superculture;10000;10000
suyashsumaro;10000;10000
svetskialeks;10000;10000
swearingmike;10000;10000
systemoutpri;60000;60000
t15432hierry;10000;10000
tatianaserge;10000;10000
tatyanasvits;10000;10000
tegoff123123;10000;10000
temaazamatov;10000;10000
tempoghopper;10000;10000
testqwerty12;10000;10000
testqwertyqw;10000;10000
testsudokey1;10000;10000
thecarnyzzzz;10000;10000
theonlysuesa;10000;10000
thisismeeeee;10000;10000
tiberon12345;140000;140000
tlsvenezuela;10000;10000
tojukaka1234;10000;10000
tomasaugusto;10000;10000
tomzeetomzee;10000;10000
toofasteddie;310000;310000
tracyjammy13;10000;10000
transformice;10000;10000
tribesmanltd;10000;10000
twelvetwelve;10000;10000
twistanddead;10000;10000
twutwutwutwu;10000;10000
uaidhearthin;10000;10000
uaidhelburgy;10000;10000
uaigrimurant;10000;10000
uaillistaney;10000;10000
uaincharahid;10000;10000
uaithclifiel;10000;10000
uaitlynnessa;10000;10000
ualappollian;10000;10000
ualastildora;10000;10000
uanorodrifin;10000;10000
uarturaliony;10000;10000
ucelethianse;10000;10000
uchaireanond;10000;10000
uchamwoltone;10000;10000
uchebightoth;10000;10000
uchelmonchon;10000;10000
uchesfirilie;10000;10000
uchraniordan;10000;10000
uchtailmaell;10000;10000
uchtencandur;10000;10000
uchtgittorid;10000;10000
uchursandyce;10000;10000
ucommunitybp;10000000;10000000
ucryptolions;10000;10000
